 	분류	타입1	타입2	타입3	위력	명중	대상	우선도	접촉 여부	효과	태그1	태그2	태그3	태그4	공격자 능력치	방어자 능력치	타입 순서
깡그리태우기	변화	불꽃			－	－	자진	±0	×	자진의 「설치물」을 해제한다．		해제			－	－	2
니트로차지	물리	불꽃			50	100	단일	±0	○	「10할：속도＋1」					공격	방어	2
대격분	물리	불꽃			120	100	단일	±0	○	2T 동안 자신을 「난동부리기」 상태로 한다．		난동부리기			공격	방어	2
도깨비불	변화	불꽃			－	85	단일	±0	×	상대를 「화상」 상태로 한다．					－	－	2
도화선당기기	물리	불꽃			100	85	단일	＋2	○	「필드에 나온 후 최초」가 아니면 실패한다．		최초			공격	방어	2
따라가태우기	물리	불꽃			40	100	단일	±0	×	「추격」 기술．상대가 「임의교대」 도중일 때，위력이 강화（2배）된다．			추격		공격	방어	2
라이징임팩트	물리	불꽃			130	70	단일	±0	○	날씨가 「쾌청（큰가뭄）」일 때，「필중」 효과가 부여된다．					공격	방어	2
래피드파이어	물리	불꽃			40	100	단일	＋1	×	특수효과 없음．					공격	방어	2
로켓버너	물리	불꽃			130	100	단일	±0	○	「모으기」 기술．명중 후，자신의 「방어＋1」	모으기				공격	방어	2
마그마다이브	물리	불꽃			100	100	단일	±0	○	「모으기」 기술．상대의 「방어」 기술을 관통한다．1T째에 「불꽃속」으로 모습을 감추고，2T째에 공격한다．날씨가 「쾌청（큰가뭄）」일 때，모으기를 생략한다．	모으기	방어관통			공격	방어	2
마그마스톰	특수	불꽃			100	75	단일	±0	×	4～5T 동안 상대를 「조이기」 상태로 한다．상대가 「조이기」 상태일 때，「얼음」 상태가 되지 않는다．		조이기			특공	특방	2
매지컬플레임	특수	불꽃			75	100	단일	±0	×	「마법」 기술．「10할：특공－1」	마법				특공	특방	2
미사일폭격	물리	불꽃	강철		180	90	전체	＋5	×	「탄/볼」 기술．「강철」「불꽃」 타입 중 유리한 타입 상성으로 대미지를 계산한다．필드에 나온 후 2T째가 아니면 실패한다．	탄/볼	복합타입			공격	방어	2
번액셀	물리	불꽃			80	100	단일	±0	×	「3할：화상」					공격	방어	2
부싯주머니	특수	불꽃			80	100	단일	＋2	○	연속해서 내보내면 실패하기 쉽다．（「방어」 기술과 별도 판정．）					특공	특방	2
분노의불꽃	물리	불꽃			200	100	전체	±0	○	2T 동안 자신을 「난동부리기」 상태로 한다．		난동부리기		전용기술	공격	방어	2
분연	특수	불꽃			80	100	전체	±0	×	「3할：화상」					특공	특방	2
분화（1P）	특수	불꽃			150	100	전체	±0	×	자신의 현재 HP가 적을수록 위력이 약화된다．		체력비례			특공	특방	2
분화（2P）	특수	불꽃			0	100	전체	±0	×	자신의 현재 HP가 적을수록 위력이 약화된다．		체력비례			특공	특방	2
불기둥	변화	불꽃			－	－	적진	±0	×	「설치」 기술．적진에 「불기둥」을 설치한다．	설치				－	－	2
불꽃꼬리	물리	불꽃			90	90	단일	±0	○	「2할：화상」	꼬리				공격	방어	2
불꽃부리	물리	불꽃			100	90	단일	±0	○	급소에 맞기 쉽다（C＋1）．「2할：화상」					공격	방어	2
불꽃뿔	물리	불꽃			120	85	단일	－7	○	「강제교대」 기술．			강제교대		공격	방어	2
불꽃세례	특수	불꽃			40	100	단일	±0	×	「1할：화상」					특공	특방	2
불꽃엄니	물리	불꽃			65	95	단일	±0	○	「물기/엄니」 기술．「1할：화상」「1할：풀죽음」	물기/엄니				공격	방어	2
불꽃의나선	물리	불꽃			120	100	단일	±0	○	「모으기」 기술．상대의 「방어」 기술을 관통한다．1T째에 「불꽃속」으로 모습을 감추고，2T째에 공격한다．날씨가 「쾌청（큰가뭄）」일 때，모으기를 생략한다．	드릴/나선 모으기	방어관통			공격	방어	2
불꽃의맹세	특수	불꽃			80	100	단일	±0	×	「맹세」 기술．다른 「맹세」 기술과 연속해서 내보낼 때，특수한 효과가 발생한다．	맹세				특공	특방	2
불꽃의맹세（＋풀）	특수	불꽃			150	100	단일	±0	×	4T 동안 적진을 「불바다」 상태로 한다．	맹세				특공	특방	2
불꽃의칼	물리	불꽃			100	100	단일	±0	○	「칼/검」 기술．급소에 맞기 쉽다（C＋1）．「2할：화상」	칼/검				공격	방어	2
불꽃의화살	특수	불꽃			100	－	단일	－3	×	「화살」 기술．	화살	필중			특공	특방	2
불꽃채찍	물리	불꽃			80	100	단일	±0	○	「10할：방어－1」					공격	방어	2
불꽃춤	특수	불꽃			80	100	단일	±0	×	「춤」 기술．「5할：특공＋1」	춤				특공	특방	2
불꽃튀기기	특수	불꽃			70	100	단일	±0	×	상대 주위의 포켓몬에게 HP의 1/16만큼 고정 대미지를 준다．				더블배틀	특공	특방	2
불꽃펀치	물리	불꽃			75	100	단일	±0	○	「펀치」 기술．「1할：화상」	펀치				공격	방어	2
불놀이	물리	불꽃			20	100	단일	±0	○	「10할：화상」					공격	방어	2
불대문자	특수	불꽃			110	85	단일	±0	×	「1할：화상」					특공	특방	2
불붙이기	특수	불꽃			40	－	단일	±0	×	「10할：도발」		필중			특공	특방	2
불사르기	특수	불꽃			130	100	단일	±0	×	자신이 「불꽃」 타입이 아니면 실패한다．명중 후，자신의 「불꽃」 타입을 「없음」으로 한다．		타입변경			특공	특방	2
불지피기	변화	불꽃			－	100	단일	±0	×	상대의 타입을 「불꽃」으로 변경한다．		타입변경	타입변경		－	－	2
불타는번개	특수	불꽃	전기		130	85	단일	±0	×	「불꽃」「전기」 타입 중 유리한 타입 상성으로 대미지를 계산한다．		복합타입			특공	특방	2
불타는인분	특수	불꽃	벌레		130	85	단일	±0	×	「불꽃」「벌레」 타입 중 유리한 타입 상성으로 대미지를 계산한다．		복합타입			특공	특방	2
불타는질풍	특수	불꽃	비행		130	85	단일	±0	×	「불꽃」「비행」 타입 중 유리한 타입 상성으로 대미지를 계산한다．		복합타입			특공	특방	2
불태우기	특수	불꽃			60	100	단일	±0	×	「소지품 파괴」 기술．상대의 「나무열매」「주얼」을 파괴한다．		파괴			특공	특방	2
붉은번개	물리	불꽃	전기		200	100	단일	±0	×	「불꽃」「전기」 타입 중 유리한 타입 상성으로 대미지를 계산한다．		복합타입		전용기술	공격	방어	2
블라스트번	특수	불꽃			150	90	단일	±0	×	명중 후，다음 T 종료 후까지 자신을 「행동불능」 상태로 한다．		행동불능			특공	특방	2
블레이즈킥	물리	불꽃			85	90	단일	±0	○	「킥」 기술．급소에 맞기 쉽다（C＋1）．「1할：화상」	킥				공격	방어	2
사악한불꽃	특수	불꽃	악		130	85	단일	±0	×	「불꽃」「악」 타입 중 유리한 타입 상성으로 대미지를 계산한다．		복합타입			특공	특방	2
성스러운불꽃	물리	불꽃			100	95	단일	±0	×	서로의 「얼음」 상태를 치유한다．「5할：화상」		치유			공격	방어	2
세개의파동	특수	불꽃	전기	얼음	100	100	단일	－3	×	「파동」 기술．「불꽃」「전기」「얼음」 타입 중 유리한 타입 상성으로 대미지를 계산한다．	파동	복합타입		전용기술	특공	특방	2
소이탄	특수	불꽃			150	90	단일	－3	×	「탄/볼」 기술．상대의 「방어」 기술을 관통한다．상대가 「방어」 기술을 내보내고 있지 않으면 실패한다．	탄/볼	방어관통			특공	특방	2
아머캐논	특수	불꽃			120	100	단일	±0	×	명중 후，자신의 「방어/특방－1」					특공	특방	2
업화의춤	특수	불꽃			100	90	전체	±0	×	「춤」 기술．「2할：특공＋1」	춤				특공	특방	2
업화회진	특수	불꽃			180	95	전체	±0	×	명중 후，자신의 「방어/특방/속도－1」					특공	특방	2
연옥	특수	불꽃			100	50	단일	±0	×	「10할：화상」					특공	특방	2
열풍	특수	불꽃			95	90	전체	±0	×	「바람」 기술．「1할：화상」	바람				특공	특방	2
염마수리검	물리	불꽃			150	90	단일	＋2	○	「칼/검」 기술．「필드에 나온 후 최초」가 아니면 실패한다．	칼/검	최초			공격	방어	2
오버히트	특수	불꽃			130	90	단일	±0	×	명중 후，자신의 「특공－2」					특공	특방	2
원념의칼	물리	불꽃			90	100	단일	±0	○	「칼/검」 기술．준 대미지의 1/2만큼 HP를 회복한다．	칼/검	드레인			공격	방어	2
원시의불꽃	특수	불꽃			200	－	전체	±0	×	「추격」 기술．상대가 「임의교대」 도중일 때，위력이 강화（2배）된다．		필중	추격	전용기술	특공	특방	2
인페르노팽	물리	불꽃			85	100	단일	±0	○	「물기/엄니」 기술．적진의 「벽」을 해제한 후 기술을 내보낸다．	물기/엄니	깨트리기			공격	방어	2
임사의불꽃	물리	불꽃			150	90	단일	±0	○	「화상」 상태일 때 내보내면 실패한다．명중 후，자신을 「화상」 상태로 한다．（「불꽃」 타입이어도 「화상」 상태가 된다．）				전용기술	공격	방어	2
자연발화	특수	불꽃			100	100	단일	±0	×	「미래예지」 기술．상대를 「자연발화」 상태로 한다．	미래예지	방어관통			특공	특방	2
작열	특수	불꽃			－	30	단일	±0	×	「일격필살」 기술．	일격필살				－	－	2
잔화의노래	특수	불꽃			100	100	전체	±0	×	「소리」 기술．	소리				특공	특방	2
주작의불꽃	물리	불꽃			140	100	단일	±0	○	준 대미지의 1/4만큼 반동 대미지를 받는다．급소에 맞기 쉽다（C＋1）．「2할：화상」		반동		전용기술	공격	방어	2
지옥의업화	물리	불꽃			85	90	전체	±0	×	상대가 「불꽃」 타입일 때，「효과가 굉장」해진다．「3할：화상」		상성변경		전용기술	공격	방어	2
질투의불꽃	특수	불꽃			70	100	전체	±0	×	상대에게 「능력변화：＋」가 발생했을 때，「10할：화상」					특공	특방	2
쬐어밝히기	특수	불꽃			40	－	단일	－7	×	「강제교대」 기술．		필중	강제교대		특공	특방	2
천상의업화	물리	불꽃			160	50	단일	±0	○	날씨가 「쾌청（큰가뭄）」일 때，「필중」 효과가 부여된다．「10할：화상」				전용기술	공격	방어	2
쾌청	변화	불꽃			－	－	필드	±0	×	5T 동안 날씨를 「쾌청」으로 한다．	날씨				－	－	2
크로스플레임	물리	불꽃			100	100	단일	±0	×	서로의 「얼음」 상태를 치유한다．「크로스썬더」 직후에 내보내면 위력이 강화（2배）된다．					공격	방어	2
태양의창	물리	불꽃			100	100	단일	±0	○	「창」 기술．상대의 〔방호 특성〕을 관통한다．	창	특성관통			공격	방어	2
태워없애기	물리	불꽃			100	85	단일	－3	○	상대의 「방어」 기술을 관통한다．		방어관통			공격	방어	2
트라이버스트	특수	불꽃	전기	얼음	300	100	단일	±0	×	「불꽃」「전기」「얼음」 타입 중 유리한 타입 상성으로 대미지를 계산한다．자신이 「가열」「충전」「냉각」 상태가 아니면 실패한다．		복합타입		전용기술	특공	특방	2
트랩셸	특수	불꽃			150	100	전체	－3	×	기술을 내보내기 전에 상대의 「물리」 기술을 받지 않으면 실패한다．					특공	특방	2
파이로키네시스	특수	불꽃	에스퍼		85	95	단일	±0	×	「불꽃」「에스퍼」 타입 중 유리한 타입 상성으로 대미지를 계산한다．		복합타입			특공	특방	2
폭격	물리	불꽃			150	100	단일	±0	×	상대가 「폭탄」「분진」 상태가 아니면 실패한다．상대의 「폭탄」 상태를 발동한다．					공격	방어	2
폭렬레이저	특수	불꽃			150	85	단일	＋2	×	「필드에 나온 후 최초」가 아니면 실패한다．「1할：화상」		최초			특공	특방	2
폭렬마법	특수	불꽃			150	90	단일	＋2	×	「마법」 기술．「필드에 나온 후 최초」가 아니면 실패한다．	마법	최초		전용기술	특공	특방	2
폭렬서브	물리	불꽃			150	90	단일	＋2	○	「탄/볼」 기술．「필드에 나온 후 최초」가 아니면 실패한다．	탄/볼	최초		전용기술	공격	방어	2
폭염	물리	불꽃			90	100	전체	±0	×	「3할：화상」					공격	방어	2
폭탄	변화	불꽃			－	－	단일	±0	×	상대를 「폭탄」 상태로 한다．					－	－	2
푸른불꽃	특수	불꽃			130	85	단일	±0	×	「2할：화상」					특공	특방	2
